time,model_id,model_name,port_name,data
0,395,(1,0),,-1
0,396,(21,0),,-1
0,397,(17,21),,-1
0,398,(23,18),,-1
0,399,(26,6),,1
0,400,(24,5),,1
0,401,(8,15),,1
0,402,(1,6),,-1
0,403,(22,15),,1
0,404,(23,26),,-1
0,405,(21,8),,-1
0,406,(2,17),,1
0,407,(10,0),,1
0,408,(19,2),,-1
0,409,(12,18),,1
0,410,(0,13),,1
0,411,(4,20),,1
0,412,(10,2),,1
0,413,(15,19),,-1
0,414,(22,0),,1
0,415,(6,26),,1
0,416,(22,19),,1
0,417,(17,11),,1
0,418,(24,7),,1
0,419,(19,7),,-1
0,420,(7,0),,-1
0,421,(23,0),,-1
0,422,(25,2),,-1
0,423,(19,9),,-1
0,424,(3,4),,-1
0,425,(20,6),,1
0,426,(14,27),,1
0,427,(15,4),,-1
0,428,(4,1),,1
0,429,(21,24),,-1
0,430,(23,23),,-1
0,431,(15,15),,1
0,432,(10,18),,-1
0,433,(3,1),,-1
0,434,(5,2),,-1
0,435,(17,27),,-1
0,436,(16,7),,1
0,437,(24,12),,1
0,438,(5,6),,-1
0,439,(3,15),,-1
0,440,(27,16),,-1
0,441,(6,2),,1
0,442,(25,12),,-1
0,443,(12,15),,-1
0,444,(13,20),,-1
0,445,(8,12),,1
0,446,(4,17),,1
0,447,(4,9),,1
0,448,(5,24),,-1
0,449,(5,9),,-1
0,450,(16,21),,1
0,451,(21,13),,-1
0,452,(16,4),,1
0,453,(8,2),,1
0,454,(15,2),,-1
0,455,(4,11),,1
0,456,(6,12),,1
0,457,(18,8),,1
0,458,(16,2),,1
0,459,(26,20),,1
0,460,(2,5),,1
0,461,(21,2),,-1
0,462,(13,4),,-1
0,463,(22,2),,1
0,464,(13,25),,-1
0,465,(27,20),,-1
0,466,(23,2),,-1
0,467,(9,3),,-1
0,468,(17,8),,-1
0,469,(22,1),,1
0,470,(22,3),,1
0,471,(22,17),,1
0,472,(3,7),,-1
0,473,(0,3),,1
0,474,(2,6),,1
0,475,(6,13),,1
0,476,(1,3),,-1
0,477,(11,3),,-1
0,478,(2,3),,1
0,479,(2,24),,1
0,480,(21,19),,-1
0,481,(16,14),,-1
0,482,(17,3),,-1
0,483,(0,4),,1
0,484,(2,12),,1
0,485,(5,3),,-1
0,486,(21,3),,-1
0,487,(15,3),,-1
0,488,(13,3),,-1
0,489,(3,27),,-1
0,490,(22,18),,1
0,491,(7,7),,-1
0,492,(4,19),,1
0,493,(11,4),,-1
0,494,(12,9),,1
0,495,(14,9),,1
0,496,(23,3),,-1
0,497,(2,19),,1
0,498,(1,1),,-1
0,499,(5,22),,-1
0,500,(13,6),,-1
0,501,(6,5),,1
0,502,(27,3),,-1
0,503,(9,13),,-1
0,504,(16,9),,1
0,505,(18,3),,1
0,506,(19,3),,-1
0,507,(16,17),,1
0,508,(1,4),,-1
0,509,(5,4),,-1
0,510,(15,22),,-1
0,511,(3,21),,-1
0,512,(8,16),,1
0,513,(27,2),,-1
0,514,(26,7),,1
0,515,(6,0),,1
0,516,(18,2),,1
